airport_name,airport_code,most_frequent_reason,num_cancelled
"Scottsbluff, NE",BFF,B,2
"Sioux Falls, SD",FSD,B,2
"Wilmington, NC",ILM,C,2
"Adak Island, AK",ADK,B,1
"Aguadilla, PR",BQN,C,1
"Akron, OH",CAK,A,1
"Albany, NY",ALB,B,1
"Allentown/Bethlehem/Easton, PA",ABE,C,1
"Alpena, MI",APN,B,1
"Atlantic City, NJ",ACY,B,1
"Augusta, GA",AGS,C,1
"Bakersfield, CA",BFL,B,1
"Bethel, AK",BET,B,1
"Billings, MT",BIL,A,1
"Bismarck/Mandan, ND",BIS,B,1
"Bristol/Johnson City/Kingsport, TN",TRI,C,1
"Champaign/Urbana, IL",CMI,C,1
"Cheyenne, WY",CYS,B,1
"Christiansted, VI",STX,B,1
"Columbia, MO",COU,C,1
"Columbus, OH",LCK,C,1
"Cordova, AK",CDV,B,1
"Deadhorse, AK",SCC,A,1
"Eagle, CO",EGE,C,1
"Escanaba, MI",ESC,A,1
"Fargo, ND",FAR,A,1
"Flagstaff, AZ",FLG,B,1
"Flint, MI",FNT,C,1
"Garden City, KS",GCK,C,1
"Gillette, WY",GCC,B,1
"Hagerstown, MD",HGR,A,1
"Harrisburg, PA",MDT,C,1
"Hays, KS",HYS,B,1
"Hilo, HI",ITO,A,1
"Hilton Head, SC",HHH,B,1
"Jackson, WY",JAC,B,1
"Kalispell, MT",FCA,A,1
"Kodiak, AK",ADQ,A,1
"Lansing, MI",LAN,B,1
"Manhattan/Ft. Riley, KS",MHK,C,1
"Mason City, IA",MCW,A,1
"Medford, OR",MFR,A,1
"Melbourne, FL",MLB,B,1
"Moline, IL",MLI,C,1
"Monterey, CA",MRY,B,1
"Montrose/Delta, CO",MTJ,C,1
"Peoria, IL",PIA,C,1
"Plattsburgh, NY",PBG,C,1
"Ponce, PR",PSE,B,1
"Portsmouth, NH",PSM,C,1
"Roanoke, VA",ROA,C,1
"Roswell, NM",ROW,C,1
"Salina, KS",SLN,B,1
"Sitka, AK",SIT,A,1
"Stillwater, OK",SWO,C,1
"Texarkana, AR",TXK,C,1
"Trenton, NJ",TTN,A,1
"Wichita Falls, TX",SPS,B,1
"Wrangell, AK",WRG,A,1
"Yuma, AZ",YUM,B,1
