Reporting_Airline,max_delay
Reporting_Airline,0
WN,580
AS,927
NK,1053
9E,1159
HA,1162
DL,1191
UA,1224
F9,1234
YX,1244
G4,1316
OO,1484
MQ,1525
OH,1917
B6,2113
AA,3348
